,geometry,address
59,POINT (37.368874 55.753874),"МКАД, 59-й километр, внешняя сторона, Москва, Россия"
60,POINT (37.369053 55.762596),"МКАД, 60-й километр, внешняя сторона, Москва, Россия"
61,POINT (37.369287 55.771742),"МКАД, 61-й километр, внешняя сторона, Москва, Россия"
62,POINT (37.36953 55.780704),"МКАД, 62-й километр, внешняя сторона, Москва, Россия"
63,POINT (37.373024 55.790109),"МКАД, 63-й километр, внешняя сторона, Москва, Россия"
64,POINT (37.380022 55.797437),"МКАД, 64-й километр, внешняя сторона, Москва, Россия"
65,POINT (37.38666 55.805386),"МКАД, 65-й километр, внешняя сторона, Москва, Россия"
66,POINT (37.390092 55.814912),"МКАД, 66-й километр, внешняя сторона, Москва, Россия"
67,POINT (37.392787 55.823535),"МКАД, 67-й километр, внешняя сторона, Москва, Россия"
68,POINT (37.395185 55.832197),"МКАД, 68-й километр, внешняя сторона, Москва, Россия"
69,POINT (37.394305 55.841149),"МКАД, 69-й километр, внешняя сторона, Москва, Россия"
70,POINT (37.392634 55.850105),"МКАД, 70-й километр, внешняя сторона, Москва, Россия"
71,POINT (37.397144 55.858503),"МКАД, 71-й километр, внешняя сторона, Москва, Россия"
72,POINT (37.404348 55.866445),"МКАД, 72-й километр, внешняя сторона, Москва, Россия"
73,POINT (37.415757 55.872617),"МКАД, 73-й километр, внешняя сторона, Москва, Россия"
74,POINT (37.429573 55.877087),"МКАД, 74-й километр, внешняя сторона, Москва, Россия"
75,POINT (37.444359 55.881571),"МКАД, 75-й километр, внешняя сторона, Москва, Россия"
76,POINT (37.459577 55.882889),"МКАД, 76-й километр, внешняя сторона, Москва, Россия"
77,POINT (37.474516 55.885191),"МКАД, 77-й километр, внешняя сторона, Москва, Россия"
78,POINT (37.489023 55.889033),"МКАД, 78-й километр, внешняя сторона, Москва, Россия"
79,POINT (37.501456 55.894389),"МКАД, 79-й километр, внешняя сторона, Москва, Россия"
80,POINT (37.514275 55.900012),"МКАД, 80-й километр, внешняя сторона, Москва, Россия"
81,POINT (37.528136 55.905613),"МКАД, 81-й километр, внешняя сторона, Москва, Россия"
82,POINT (37.544396 55.907995),"МКАД, 82-й километр, внешняя сторона, Москва, Россия"
83,POINT (37.560395 55.90968),"МКАД, 83-й километр, внешняя сторона, Москва, Россия"
84,POINT (37.575208 55.911098),"МКАД, 84-й километр, внешняя сторона, Москва, Россия"
85,POINT (37.590515 55.909438),"МКАД, 85-й километр, внешняя сторона, Москва, Россия"
86,POINT (37.605023 55.905366),"МКАД, 86-й километр, внешняя сторона, Москва, Россия"
87,POINT (37.619656 55.901627),"МКАД, 87-й километр, внешняя сторона, Москва, Россия"
88,POINT (37.634829 55.898725),"МКАД, 88-й километр, внешняя сторона, Москва, Россия"
89,POINT (37.650424 55.896691),"МКАД, 89-й километр, внешняя сторона, Москва, Россия"
90,POINT (37.666036 55.89554),"МКАД, 90-й километр, внешняя сторона, Москва, Россия"
91,POINT (37.682071 55.89505),"МКАД, 91-й километр, внешняя сторона, Москва, Россия"
92,POINT (37.697999 55.894217),"МКАД, 92-й километр, внешняя сторона, Москва, Россия"
93,POINT (37.711752 55.889654),"МКАД, 93-й километр, внешняя сторона, Москва, Россия"
94,POINT (37.723663 55.883545),"МКАД, 94-й километр, внешняя сторона, Москва, Россия"
95,POINT (37.735422 55.877693),"МКАД, 95-й километр, внешняя сторона, Москва, Россия"
96,POINT (37.747065 55.871723),"МКАД, 96-й километр, внешняя сторона, Москва, Россия"
97,POINT (37.758823 55.865677),"МКАД, 97-й километр, внешняя сторона, Москва, Россия"
98,POINT (37.770717 55.859554),"МКАД, 98-й километр, внешняя сторона, Москва, Россия"
99,POINT (37.782584 55.853445),"МКАД, 99-й километр, внешняя сторона, Москва, Россия"
100,POINT (37.794558 55.84727),"МКАД, 100-й километр, внешняя сторона, Москва, Россия"
101,POINT (37.806596 55.841043),"МКАД, 101-й километр, внешняя сторона, Москва, Россия"
102,POINT (37.818642 55.834861),"МКАД, 102-й километр, внешняя сторона, Москва, Россия"
103,POINT (37.830123 55.828839),"МКАД, 103-й километр, внешняя сторона, Москва, Россия"
104,POINT (37.837408 55.8213),"МКАД, 104-й километр, внешняя сторона, Москва, Россия"
105,POINT (37.839187 55.812231),"МКАД, 105-й километр, внешняя сторона, Москва, Россия"
106,POINT (37.840004 55.802821),"МКАД, 106-й километр, внешняя сторона, Москва, Россия"
107,POINT (37.841019 55.793763),"МКАД, 107-й километр, внешняя сторона, Москва, Россия"
108,POINT (37.841963 55.785113),"МКАД, 108-й километр, внешняя сторона, Москва, Россия"
109,GEOMETRYCOLLECTION EMPTY,
